	elevation	coordinates	headlines	is_edge	topics	flux	moisture	temperature	shadow
174	0.5828651917924546	[21811, 586, 29619]	[]	False	13.0	0.0	0.0	0.0	0.0
175	0.5828651917924546	[586, 21811, 17903]	[]	False	13.0	0.0	0.0	0.0	0.0
176	0.5828651917924546	[53461, 21811, 29619]	[]	False	13.0	0.0	0.0	0.0	0.0
177	0.5828651917924546	[92046, 53461, 29619]	[]	False	13.0	0.0	0.0	0.0	0.0
178	0.5828651917924546	[53461, 92046, 5002]	[]	False	13.0	0.0	0.0	0.0	0.0
179	0.3851101329135927	[31665, 7572, 82382]	[]	False	65.0	0.0	0.0	0.0	0.0
180	0.3851101329135927	[48612, 7572, 31665]	[]	False	65.0	0.0	0.0	0.0	0.0
181	0.3851101329135927	[7572, 48612, 93981]	[]	False	65.0	0.0	0.0	0.0	0.0
266	0.10586798840928623	[67312, 66315, 70183]	[]	False	53.0	0.0	0.0	0.0	0.0
267	0.10586798840928623	[66315, 67312, 36189]	[]	False	53.0	0.0	0.0	0.0	0.0
467	0.6965212710807758	[50030, 35559, 42087]	[]	False	133.0	0.0	0.0	0.0	0.0
468	0.6965212710807758	[35559, 7848, 42087]	[]	False	133.0	0.0	0.0	0.0	0.0
469	0.6965212710807758	[50030, 10624, 75731]	[]	False	133.0	0.0	0.0	0.0	0.0
470	0.6965212710807758	[10624, 50030, 42087]	[]	False	133.0	0.0	0.0	0.0	0.0
479	0.6188913089135176	[86602, 97949, 4179]	[]	False	155.0	0.0	0.0	0.0	0.0
484	0.3851101329135927	[94390, 96869, 82382]	[]	False	65.0	0.0	0.0	0.0	0.0
485	0.3851101329135927	[15116, 96869, 94390]	[]	False	65.0	0.0	0.0	0.0	0.0
487	0.6188913089135176	[97949, 50550, 34290]	[]	False	155.0	0.0	0.0	0.0	0.0
488	0.6188913089135176	[50550, 97949, 86602]	[]	False	155.0	0.0	0.0	0.0	0.0
490	0.6188913089135176	[64792, 72536, 33739]	[]	False	155.0	0.0	0.0	0.0	0.0
491	0.6188913089135176	[72536, 72207, 97497]	[]	False	155.0	0.0	0.0	0.0	0.0
492	0.6188913089135176	[96267, 84182, 44506]	[]	False	155.0	0.0	0.0	0.0	0.0
494	0.3851101329135927	[62015, 7572, 93981]	[]	False	65.0	0.0	0.0	0.0	0.0
495	0.3851101329135927	[62015, 80245, 16025]	[]	False	65.0	0.0	0.0	0.0	0.0
496	0.3851101329135927	[59998, 48612, 31665]	[]	False	65.0	0.0	0.0	0.0	0.0
497	0.3851101329135927	[48612, 59998, 34022]	[]	False	65.0	0.0	0.0	0.0	0.0
593	0.33193289338129567	[50857, 46153, 4453]	[]	False	122.0	0.0	0.0	0.0	0.0
594	0.4068458282839499	[14632, 50668, 5137]	[]	False	138.0	0.0	0.0	0.0	0.0
595	0.4068458282839499	[93252, 14632, 5137]	[]	False	138.0	0.0	0.0	0.0	0.0
596	0.4068458282839499	[93252, 13175, 4453]	[]	False	138.0	0.0	0.0	0.0	0.0
597	0.23918601948584067	[77709, 56668, 13475]	[]	False	153.0	0.0	0.0	0.0	0.0
598	0.729107127553882	[99091, 66114, 4202]	[]	False	195.0	0.0	0.0	0.0	0.0
601	0.729107127553882	[66114, 30220, 81588]	[]	False	195.0	0.0	0.0	0.0	0.0
602	0.729107127553882	[30220, 66114, 99091]	[]	False	195.0	0.0	0.0	0.0	0.0
603	0.729107127553882	[14319, 24193, 10044]	[]	False	195.0	0.0	0.0	0.0	0.0
604	0.729107127553882	[24193, 14319, 10956]	[]	False	195.0	0.0	0.0	0.0	0.0
732	0.07239555856024894	[11654, 77862, 91792]	[]	False	112.0	0.0	0.0	0.0	0.0
733	0.07239555856024894	[84697, 11654, 91792]	[]	False	112.0	0.0	0.0	0.0	0.0
1338	0.560668147019765	[76858, 85276, 40636]	[]	False	166.0	0.0	0.0	0.0	0.0
1371	0.3714321872306019	[20319, 79818, 65482]	[]	False	67.0	0.0	0.0	0.0	0.0
1400	0.6448862644405478	[63833, 80660, 42764]	[]	False	123.0	0.0	0.0	0.0	0.0
1464	0.4550037349461062	[51610, 45624, 89154]	[]	False	24.0	0.0	0.0	0.0	0.0
1465	0.4550037349461062	[37345, 19588, 32072]	[]	False	24.0	0.0	0.0	0.0	0.0
1466	0.4550037349461062	[44196, 19588, 26661]	[]	False	24.0	0.0	0.0	0.0	0.0
1471	0.4550037349461062	[58399, 14979, 9699]	[]	False	24.0	0.0	0.0	0.0	0.0
1472	0.4550037349461062	[19588, 57774, 32072]	[]	False	24.0	0.0	0.0	0.0	0.0
1473	0.4550037349461062	[57774, 19588, 44196]	[]	False	24.0	0.0	0.0	0.0	0.0
1474	0.4550037349461062	[57774, 18170, 32072]	[]	False	24.0	0.0	0.0	0.0	0.0
1475	0.4550037349461062	[45624, 70770, 89154]	[]	False	24.0	0.0	0.0	0.0	0.0
1530	0.8616891286873053	[85601, 81989, 8328]	[]	False	137.0	0.0	0.0	0.0	0.0
1532	0.8616891286873053	[91166, 80135, 1654]	[]	False	137.0	0.0	0.0	0.0	0.0
1533	0.8616891286873053	[85601, 80135, 6669]	[]	False	137.0	0.0	0.0	0.0	0.0
1534	0.8616891286873053	[80135, 85601, 1654]	[]	False	137.0	0.0	0.0	0.0	0.0
1536	0.6965212710807758	[55148, 74185, 53696]	[]	False	133.0	0.0	0.0	0.0	0.0
1539	0.6965212710807758	[40855, 16699, 69680]	[]	False	133.0	0.0	0.0	0.0	0.0
1540	0.6965212710807758	[14278, 53705, 23755]	[]	False	133.0	0.0	0.0	0.0	0.0
1541	0.6965212710807758	[21346, 10624, 42087]	[]	False	133.0	0.0	0.0	0.0	0.0
1542	0.6965212710807758	[14350, 2903, 20808]	[]	False	133.0	0.0	0.0	0.0	0.0
1543	0.4319947720388997	[73498, 6707, 99244]	[]	False	132.0	0.0	0.0	0.0	0.0
1544	0.4319947720388997	[6707, 73498, 93265]	[]	False	132.0	0.0	0.0	0.0	0.0
1545	0.8616891286873053	[77488, 18138, 29086]	[]	False	137.0	0.0	0.0	0.0	0.0
1547	0.6965212710807758	[31821, 50030, 75731]	[]	False	133.0	0.0	0.0	0.0	0.0
1548	0.6423169523767484	[96285, 35559, 89975]	[]	False	141.0	0.0	0.0	0.0	0.0
1549	0.6423169523767484	[7848, 96285, 36806]	[]	False	141.0	0.0	0.0	0.0	0.0
1550	0.6965212710807758	[96285, 7848, 35559]	[]	False	133.0	0.0	0.0	0.0	0.0
1551	0.6965212710807758	[74276, 7848, 17022]	[]	False	133.0	0.0	0.0	0.0	0.0
1552	0.6965212710807758	[7848, 74276, 42087]	[]	False	133.0	0.0	0.0	0.0	0.0
1553	0.6423169523767484	[10041, 7848, 36806]	[]	False	141.0	0.0	0.0	0.0	0.0
1554	0.6965212710807758	[10624, 69973, 75731]	[]	False	133.0	0.0	0.0	0.0	0.0
1555	0.6965212710807758	[69973, 96915, 75731]	[]	False	133.0	0.0	0.0	0.0	0.0
1556	0.6965212710807758	[69973, 21346, 30230]	[]	False	133.0	0.0	0.0	0.0	0.0
1557	0.6965212710807758	[21346, 69973, 10624]	[]	False	133.0	0.0	0.0	0.0	0.0
1558	0.6423169523767484	[73567, 23172, 14244]	[]	False	141.0	0.0	0.0	0.0	0.0
1559	0.6965212710807758	[85713, 20808, 83885]	[]	False	133.0	0.0	0.0	0.0	0.0
1560	0.6965212710807758	[85713, 14350, 20808]	[]	False	133.0	0.0	0.0	0.0	0.0
1562	0.6965212710807758	[12515, 85290, 94992]	[]	False	133.0	0.0	0.0	0.0	0.0
1566	0.4319947720388997	[6707, 14535, 99244]	[]	False	132.0	0.0	0.0	0.0	0.0
1567	0.4319947720388997	[31699, 57251, 73551]	[]	False	132.0	0.0	0.0	0.0	0.0
1618	0.6188913089135176	[62840, 97949, 34290]	[]	False	155.0	0.0	0.0	0.0	0.0
1620	0.5828651917924546	[89932, 96267, 44506]	[]	False	13.0	0.0	0.0	0.0	0.0
1621	0.5828651917924546	[96267, 89932, 5002]	[]	False	13.0	0.0	0.0	0.0	0.0
1622	0.6188913089135176	[75951, 64792, 33739]	[]	False	155.0	0.0	0.0	0.0	0.0
1623	0.6188913089135176	[81486, 95656, 62438]	[]	False	155.0	0.0	0.0	0.0	0.0
1624	0.6188913089135176	[95656, 62840, 62438]	[]	False	155.0	0.0	0.0	0.0	0.0
1625	0.6188913089135176	[62840, 95656, 97949]	[]	False	155.0	0.0	0.0	0.0	0.0
1626	0.6188913089135176	[48233, 81486, 62438]	[]	False	155.0	0.0	0.0	0.0	0.0
1657	0.4419968834418744	[24657, 53406, 98351]	[]	False	181.0	0.0	0.0	0.0	0.0
1665	0.3851101329135927	[7468, 59998, 31665]	[]	False	65.0	0.0	0.0	0.0	0.0
1666	0.3851101329135927	[7468, 31665, 82382]	[]	False	65.0	0.0	0.0	0.0	0.0
1667	0.3851101329135927	[96869, 7468, 82382]	[]	False	65.0	0.0	0.0	0.0	0.0
1668	0.3851101329135927	[16182, 15116, 94390]	[]	False	65.0	0.0	0.0	0.0	0.0
1670	0.3851101329135927	[15116, 21157, 96869]	[]	False	65.0	0.0	0.0	0.0	0.0
1672	0.3851101329135927	[52829, 21157, 15116]	[]	False	65.0	0.0	0.0	0.0	0.0
1673	0.3851101329135927	[45907, 16182, 94390]	[]	False	65.0	0.0	0.0	0.0	0.0
1674	0.3851101329135927	[16182, 45907, 48905]	[]	False	65.0	0.0	0.0	0.0	0.0
1675	0.3851101329135927	[45907, 62015, 16025]	[]	False	65.0	0.0	0.0	0.0	0.0
1676	0.3851101329135927	[62015, 45907, 7572]	[]	False	65.0	0.0	0.0	0.0	0.0
1677	0.3851101329135927	[45907, 94390, 82382]	[]	False	65.0	0.0	0.0	0.0	0.0
1678	0.3851101329135927	[7572, 45907, 82382]	[]	False	65.0	0.0	0.0	0.0	0.0
1683	0.3851101329135927	[80245, 73238, 16025]	[]	False	65.0	0.0	0.0	0.0	0.0
1689	0.4471296962294932	[63423, 67313, 51469]	[]	False	182.0	0.0	0.0	0.0	0.0
1692	0.4419968834418744	[34621, 43600, 78511]	[]	False	181.0	0.0	0.0	0.0	0.0
1693	0.4419968834418744	[43600, 70044, 78511]	[]	False	181.0	0.0	0.0	0.0	0.0
1725	0.8616891286873053	[7109, 80413, 1347]	[]	False	137.0	0.0	0.0	0.0	0.0
1748	0.560668147019765	[76146, 45327, 16877]	[]	False	166.0	0.0	0.0	0.0	0.0
1749	0.560668147019765	[45327, 11228, 52465]	[]	False	166.0	0.0	0.0	0.0	0.0
1750	0.560668147019765	[11228, 45327, 76146]	[]	False	166.0	0.0	0.0	0.0	0.0
1752	0.6188913089135176	[4028, 52149, 29270]	[]	False	155.0	0.0	0.0	0.0	0.0
1767	0.8616891286873053	[74301, 10711, 21577]	[]	False	137.0	0.0	0.0	0.0	0.0
1768	0.8616891286873053	[10711, 73691, 21577]	[]	False	137.0	0.0	0.0	0.0	0.0
1790	0.6188913089135176	[59398, 50550, 12810]	[]	False	155.0	0.0	0.0	0.0	0.0
1791	0.6188913089135176	[50550, 59398, 34290]	[]	False	155.0	0.0	0.0	0.0	0.0
1793	0.6188913089135176	[64792, 78426, 72536]	[]	False	155.0	0.0	0.0	0.0	0.0
1794	0.6188913089135176	[78426, 72207, 72536]	[]	False	155.0	0.0	0.0	0.0	0.0
1795	0.6188913089135176	[25386, 75951, 33739]	[]	False	155.0	0.0	0.0	0.0	0.0
1796	0.43203487929620243	[41507, 45547, 47446]	[]	False	165.0	0.0	0.0	0.0	0.0
1797	0.43203487929620243	[45547, 41507, 46829]	[]	False	165.0	0.0	0.0	0.0	0.0
1798	0.5828651917924546	[2207, 586, 17903]	[]	False	13.0	0.0	0.0	0.0	0.0
1799	0.5828651917924546	[31277, 2207, 62831]	[]	False	13.0	0.0	0.0	0.0	0.0
1800	0.5828651917924546	[2207, 31277, 5389]	[]	False	13.0	0.0	0.0	0.0	0.0
1801	0.5828651917924546	[92623, 87848, 5389]	[]	False	13.0	0.0	0.0	0.0	0.0
1802	0.5828651917924546	[86760, 81596, 51405]	[]	False	13.0	0.0	0.0	0.0	0.0
1803	0.43203487929620243	[86533, 47852, 26164]	[]	False	165.0	0.0	0.0	0.0	0.0
